,Dim1-1,Dim1-2,Dim2-1,Dim2-2,Dim3-1,Dim3-2,Dim3-3,Dim4-1,Dim4-2,Dim4-3
0,0.118493039,0,0.044666882,0,0,0.393007341,0,0.31434537,0,0
1,0.070824982,0,0.033796147,0,0,0.410824755,0,0.327694758,0,0
2,0.122989004,0,0.054407491,0,0,0.43374727,0,0.316753136,0,0
3,0.097313255,0,0.07028307,0,0,0.399353407,0,0.363790934,0,0
4,0.08125237,0,0.0669196,0,0,0.416928682,0,0.320207316,0,0
5,0.094225665,0,0.069395114,0,0,0.427512185,0,0.367041926,0,0
6,0.052651536,0,0.066731245,0,0,0.392270834,0,0.28582807,0,0
7,0.105980174,0,0.049913895,0,0,0.413518554,0,0.322401736,0,0
8,0.031038405,0,0.052793026,0,0.358351161,0,0,0.291456351,0,0
9,0.093006879,0,0.073942525,0,0,0.443069632,0,0.356384766,0,0
10,0.094767347,0,0.071789904,0,0,0.404569491,0,0.31105374,0,0
11,0.082227398,0,0.081584329,0,0,0.395620427,0,0.40206121,0,0
12,0.054628677,0,0.060676999,0,0,0.407676944,0,0.304653349,0,0
13,0.062618493,0,0.047411473,0,0,0.404730917,0,0.365396111,0,0
14,0.127159959,0,0.072973846,0,0,0.389213826,0,0.355937755,0,0
15,0.092058935,0,0.121972877,0,0,0.389274361,0,0.354159868,0,0
16,0.019581821,0,0.072354967,0,0.35415408,0,0,0.276644017,0,0
17,0.111776177,0,0.07604133,0,0,0.386237531,0,0.323996754,0,0
18,0.093711067,0,0.059789043,0,0,0.368066998,0,0.300904548,0,0
19,0.119793077,0,0.069395114,0,0,0.460453212,0,0.37230447,0,0
20,0.05051189,0,0.090114089,0,0,0.38870937,0,0.345138364,0,0
21,0.118303451,0,0.03207405,0,0,0.439538434,0,0.369927182,0,0
22,0.071502085,0,0.087530944,0,0,0.423456352,0,0.363404878,0,0
23,0,0,0.061538048,0,0,0.363668135,0,0.333881803,0,0
24,0.109392774,0,0.099612528,0,0,0.376693209,0,0.301046779,0,0
25,0.102973837,0,0.044720697,0,0,0.373081299,0,0.289495596,0,0
26,0.100780023,0,0.03724034,0,0,0.365373199,0,0.385013819,0,0
27,0.054114078,0,0.058255301,0,0,0.384572824,0,0.362896911,0,0
28,0.079112724,0,0.085808847,0,0,0.403267992,0,0.321091179,0,0
29,0.114457505,0,0.056075772,0,0,0.427522274,0,0.33470471,0,0
30,0.096717404,0,0.101280809,0,0,0.36735067,0,0.375606259,0,0
31,0.060478847,0,0.057690238,0,0,0.405659117,0,0.299736223,0,0
32,0.082660744,0,0.083548595,0,0,0.376632674,0,0.403249855,0,0
33,0.068251991,0,0.082122484,0,0,0.428954931,0,0.302956737,0,0
34,0.074887601,0,0.066785061,0,0,0.385289153,0,0.30040674,0,0
35,0.110042793,0,0.048407061,0,0,0.39489401,0,0.293894596,0,0
36,0.082091978,0,0.098590033,0,0.341007937,0,0,0.343939561,0,0
37,0.069795786,0,0.08734259,0,0,0.367148887,0,0.331281009,0,0
38,0.092031851,0,0.036702185,0,0,0.388840528,0,0.363577587,0,0
39,0.081198202,0,0.112770423,0,0,0.383069543,0,0.356049508,0,0
40,0.057282921,0,0.018055107,0,0,0.412146431,0,0.380147489,0,0
41,0.072558366,0,0.066650522,0,0,0.426785767,0,0.3217109,0,0
42,0.015627539,0,0.065439673,0,0,0.38112234,0,0.313217682,0,0
43,0.052651536,0,0.074534496,0,0,0.376652853,0,0.301900164,0,0
44,0.051811928,0,0.101253902,0,0,0.412005183,0,0.38045227,0,0
45,0.078191864,0,0.139086212,0,0,0.411591529,0,0.348521428,0,0
46,0.133524728,0,0.080777096,0,0,0.406476337,0,0.259403597,0,0
47,0.053382807,0,0.123533527,0,0,0.364011166,0,0.390093494,0,0
48,0.088700504,0,0.042083737,0,0,0.427300313,0,0.321832812,0,0
49,0.084448296,0,0.103971585,0,0,0.408241936,0,0.362541333,0,0
50,0.073560479,0,0.035814229,0,0,0.402703,0,0.313207523,0,0
51,0.045447159,0,0.067592294,0,0,0.370952491,0,0.297714512,0,0
52,0.023563187,0,0.091620923,0,0,0.389294539,0,0.30760972,0,0
53,0.150912735,0,0.048460876,0,0,0.375462335,0,0.38421123,0,0
54,0.064189372,0,0.095011301,0,0,0.378337738,0,0.330072046,0,0
55,0.059828828,0,0.101738241,0,0,0.430084914,0,0.345453304,0,0
56,0.054493256,0,0.052819933,0,0,0.425030257,0,0.382341909,0,0
57,0.06318726,0,0.073296739,0,0,0.377591142,0,0.342212471,0,0
58,0.1011592,0,0.105828221,0,0,0.396427558,0,0.349029396,0,0
59,0.057824603,0,0.089656657,0,0,0.494534312,0,0.355490743,0,0
60,0.103678024,0,0.052443225,0,0,0.402279257,0,0.308808523,0,0
61,0.129678782,0,0.125282531,0,0,0.416545294,0,0.304246975,0,0
62,0.059693408,0,0.017570767,0,0,0.452815736,0,0.318967875,0,0
63,0.10319051,0,0.089037778,0,0.355052014,0,0,0.307304939,0,0
64,0.081739884,0,0.108868798,0,0,0.403732092,0,0.439955591,0,0
65,0.05760793,0,0.115111398,0,0,0.43001429,0,0.30353582,0,0
66,0.085856671,0,0.05298138,0,0,0.381616707,0,0.323824045,0,0
67,0.082850333,0,0.073754171,0,0,0.412035451,0,0.381722189,0,0
68,0.056145388,0,0.069879453,0,0,0.382686156,0,0.398027948,0,0
69,0.080656519,0,0.129184157,0,0,0.367027817,0,0.319394568,0,0
70,0.068793673,0,0.126170488,0,0,0.393340283,0,0.344051314,0,0
71,0.110015709,0,0.09899365,0,0,0.390797821,0,0.376632354,0,0
72,0.033259303,0,0.118663222,0,0,0.435976969,0,0.33658419,0,0
73,0.105248903,0,0.045178129,0,0,0.40072553,0,0.303932035,0,0
74,0.06811657,0,0.084705629,0,0,0.396548628,0,0.318368473,0,0
75,0.077785602,0,0.076821655,0,0.344428154,0,0,0.351091744,0,0
76,0.121959807,0,0.092777957,0,0,0.449102935,0,0.348054098,0,0
77,0.102025892,0,0.05537617,0,0,0.42056077,0,0.289414322,0,0
78,0.100617518,0,0.079270262,0,0,0.423970898,0,0.264249608,0,0
79,0.114295,0,0.050075342,0,0,0.414537556,0,0.351792739,0,0
80,0.113509561,0,0.088203638,0,0.354890587,0,0,0.34473199,0,0
81,0.065218569,0,0.08949521,0,0,0.385955036,0,0.341958487,0,0
82,0.093304805,0,0.067619201,0,0,0.451292277,0,0.311074059,0,0
83,0.09530903,0,0.01754386,0,0,0.423405907,0,0.312486209,0,0
84,0.079979416,0,0.065385857,0,0,0.437117042,0,0.399755038,0,0
85,0.058907968,0,0.051124744,0,0,0.404821719,0,0.309783821,0,0
86,0.03074048,0,0.082606824,0,0,0.401875691,0,0.269451196,0,0
87,0.076566817,0,0.100419761,0,0,0.465154749,0,0.286965918,0,0
88,0.071312497,0,0.078732106,0,0,0.404862075,0,0.317911302,0,0
89,0.099669574,0,0.080804004,0,0,0.369237338,0,0.337661082,0,0
90,0.037186501,0,0.092078355,0,0,0.407808103,0,0.371156463,0,0
91,0.085477493,0,0.065762566,0,0,0.438176401,0,0.321111498,0,0
92,0.08867342,0,0.039608223,0,0,0.429953755,0,0.320674646,0,0
93,0.092763122,0,0.102141858,0,0,0.413589178,0,0.325825437,0,0
94,0.016819241,0,0.064228824,0,0.357170732,0,0,0.362165437,0,0
95,0.116299225,0,0.069018405,0,0,0.389587124,0,0.312486209,0,0
96,0.095850712,0,0.082068669,0,0,0.406062683,0,0.347200713,0,0
97,0.09498402,0,0.044101819,0,0,0.400271519,0,0.320827036,0,0
98,0.093467309,0,0.06955656,0,0,0.372808892,0,0.305140998,0,0
99,0.101105032,0,0.080696373,0,0,0.403005675,0,0.373675983,0,0
100,0.102811332,0,0.10006996,0,0,0.374312173,0,0.32060353,0,0
101,0.0605601,0,0.07725218,0,0,0.406435981,0,0.271828484,0,0
102,0.02995504,0,0.114357981,0,0,0.403247814,0,0.306857928,0,0
103,0.086073344,0,0.065305134,0,0,0.368581544,0,0.281073494,0,0
104,0.048263908,0,0.09490367,0,0.352882849,0,0,0.364745913,0,0
105,0.093873571,0,0.082310838,0,0,0.393088054,0,0.370699293,0,0
106,0.007583555,0,0.084490367,0,0.318186312,0,0,0.368149295,0,0
107,0.129543362,0,0.037267248,0,0,0.415960125,0,0.36008277,0,0
108,0.062699745,0,0.115165214,0,0,0.416535205,0,0.341054305,0,0
109,0.083067006,0,0.101119363,0,0.326156729,0,0,0.334613276,0,0
110,0.059124641,0,0.080454203,0,0,0.420641483,0,0.390042698,0,0
111,0.077948107,0,0.060461737,0,0,0.440506991,0,0.329675831,0,0
